id,key,name,project.id,jiraProjectVersion,status.id,folder.id,description,plannedStartDate,plannedEndDate,owner.accountId,Environment,links.issues.self,links.issues.issueId,links.issues.id,links.issues.target,links.issues.type,links.webLinks.self,links.webLinks.description,links.webLinks.url,links.webLinks.id,links.webLinks.type,links.testPlans.id,links.testPlans.testPlanId,links.testPlans.type,links.testPlans.target
12488518,FUNC-R1,FUNC-27 Functional Tests,275670,,4988344,9531256.0,,2023-08-25T14:51:11Z,2023-08-31T03:00:00Z,627be098236090006f605ce3,,,,,,,,,,,,61218273,402788,RELATED,https://f1rst-odin-org.atlassian.net/testplans/402788
13877428,FUNC-R2,FUNC-24 Teste Regressivo,275670,,4988344,9531210.0,,2023-10-19T12:14:22Z,2023-10-19T12:14:22Z,627be098236090006f605ce3,,https://api.zephyrscale.smartbear.com/v2/links/64858716,133565,64858716,https://f1rst-odin-org.atlassian.net/rest/api/2/issue/133565,RELATED,,,,,,64858305,423440,RELATED,https://f1rst-odin-org.atlassian.net/testplans/423440
13877472,FUNC-R3,FUNC-24 Teste E2E,275670,,4988344,10143578.0,,2023-10-19T12:16:29Z,2023-10-19T12:16:29Z,627be098236090006f605ce3,,https://api.zephyrscale.smartbear.com/v2/links/64858112;https://api.zephyrscale.smartbear.com/v2/links/64858119,133647;133565,64858112;64858119,https://f1rst-odin-org.atlassian.net/rest/api/2/issue/133647;https://f1rst-odin-org.atlassian.net/rest/api/2/issue/133565,RELATED;RELATED,,,,,,64858306,423440,RELATED,https://f1rst-odin-org.atlassian.net/testplans/423440
14192996,FUNC-R4,Teste Funcional Parametro,275670,,4988344,9531256.0,,2023-11-01T16:25:29Z,2023-11-01T16:25:29Z,627be098236090006f605ce3,,https://api.zephyrscale.smartbear.com/v2/links/65687966,172952,65687966,https://f1rst-odin-org.atlassian.net/rest/api/2/issue/172952,RELATED,,,,,,,,,
14121901,TBCC-R1,DEV - Sprint 4,296786,,5360306,13994313.0,,2023-10-27T15:21:59Z,2023-10-27T15:21:59Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,,,,,,,,,,,,,,,
14699429,TBCC-R2,CRT - Sprint 5,296786,,5360306,13994313.0,,2023-11-17T17:59:37Z,2023-11-17T17:59:37Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,QA,,,,,,,,,,,,,,
15772217,TBCC-R3,CRT - Sprint 6,296786,,5360306,13994313.0,,2023-12-05T19:54:11Z,2023-12-05T19:54:11Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,,https://api.zephyrscale.smartbear.com/v2/links/85563696,251759,85563696,https://f1rst-odin-org.atlassian.net/rest/api/2/issue/251759,RELATED,,,,,,,,,
21256863,TBCC-R177,QA - Onboarding,296786,,5360306,13994313.0,,2024-04-25T20:28:36Z,2024-04-25T20:28:36Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,QA,https://api.zephyrscale.smartbear.com/v2/links/85515722,251759,85515722,https://f1rst-odin-org.atlassian.net/rest/api/2/issue/251759,RELATED,,,,,,,,,
21742513,TBCC-R178,RegressivoAUT_Corporate_02-05-2024T12:31:12,296786,,5360305,13863429.0,,2024-05-28T03:00:00Z,2024-05-28T03:00:00Z,,QA,,,,,,,,,,,,,,
22353378,TBCC-R191,TBCC-1339 - Ativação de company,296786,,5360306,13991174.0,,2024-05-24T14:25:59Z,2024-05-24T14:25:59Z,712020:d70cc62b-2266-43a9-80ca-269612d89d54,QA,https://api.zephyrscale.smartbear.com/v2/links/88565935,214239,88565935,https://f1rst-odin-org.atlassian.net/rest/api/2/issue/214239,RELATED,,,,,,,,,
